District,Population_density,Literacy_rate,Agriculture_dependency_rate,Employment_rate,Average_Max_Temp_C,Average_Min_Temp_C,precipitation_mm,life_expectancy_yrs,Death_by_natural_climaties,Estimated_Mean_PerCapitaIncome(RS),Road(km),No. of Airports,No of Hospitals/Phc,Estimated_Mean_Household_Income(RS),Migration_label
TAPLEJUNG  ,33,0.822,0.791,0.948,21.7,12.4,1954,70.4,16,112241,68.5,1,0,13526050944,0
SANKHUWASABHA  ,45,0.00797,0.824,0.975,25.4,15.4,5789.9,68.4,47,120533.62,231.5,1,5,19049253342,0
SOLUKHUMBU  ,32,0.769,0.74,0.964,21.2,5.4,1953.5,68.8,18,121864.17,37,2,4,12777579591,0
OKHALDHUNGA  ,130,0.739,0.8,0.891,24,6,263,68.8,41,119641.56,75.68,0,3,16696219134,0
KHOTANG  ,110,0.76,0.872,0.972,22.1,14.1,732.7,67.5,78,115896.06,190,1,5,20316346680,0
BHOJPUR  ,105,0.789,0.848,0.977,28.1,8.5,1569,68.3,61,118964.71,107,1,4,18787264020,0
DHANKUTA  ,169,0.814,0.804,0.976,25.8,15.5,1376,69.1,39,121633.12,91.56,0,3,18317825904,0
TERHATHUM  ,131,0.819,0.838,0.965,30.7,17.3,139,67,21,119888.63,125.07,0,4,10637837805,0
PANCHTHAR  ,139,0.823,0.795,0.965,26.8,15.5,1104.4,67,63,119869.51,111.08,0,1,20665503453,0
ILAM  ,164,0.834,0.773,0.968,21,14,1336.9,67.5,41,122817.98,190.21,1,5,34331801469,0
JHAPA  ,621,0.828,0.564,0.947,30.6,18.9,1336.9,67.3,188,119549.3,161.97,0,22,1.19E+11,1
MORANG  ,619,0.786,0.506,0.941,30.3,19.7,2207.5,67.3,307,115431.6,96.02,1,20,1.33E+11,1
SUNSARI  ,737,0.781,0.415,0.924,30,19,3019,66,254,111585.61,150.62,0,9,1.03E+11,1
UDAYAPUR  ,165,0.772,0.701,0.949,28.1,17.4,1491.6,68.3,78,115840.6,256.65,0,3,39469324419,1
SAPTARI  ,518,0.677,0.604,0.915,30.5,20.3,1788.1,71.34,472,895665.95,141.73,0,6,63256407680,0
SIRAHA  ,623,0.651,0.629,0.921,30.9,20.1,1624.2,71.29,418,86496.14,127.85,0,9,64003079395,0
DHANUSHA  ,735,0.652,0.554,0.921,29.68,10.7,1526.1,67,512,87929.48,120.6,1,10,76300542805,0
MAHOTTARI  ,706,0.598,0.515,0.892,31.1,20.6,1113.1,63.5,484,84030.24,127.61,0,7,59408872530,0
